Group,Best Category
Dàimh,Celtic
Déanta,Celtic
Danú,Celtic
Dan_Ar_Braz,Celtic
Danny_&_the_Juniors,Doo-wop
Danzig_(band),American_blues_rock
Darediablo,American_blues_rock
Darts_(band),British_instrumental
Daughter_Darling,Trip_hop
Davina_and_the_Vagabonds,American_blues
Dazzle_Dreams,Electronic
De-Phazz,Trip_hop
DeSoL,Latin
Dead_Heavens,American_blues_rock
Deadbeat_Darling,Trip_hop
Deadboy_&_the_Elephantmen,American_blues_rock
Deap_Vally,American_blues_rock
Death_Spells,Electronic
Death_in_Vegas,Trip_hop
Decree_(band),Electronic
Deeplomatic_Recordings,Electronic
Delta_Moon,American_blues
Delta_Rae,American_blues_rock
Deltron_3030,Trip_hop
Depapepe,Japanese_instrumental
Dervish_(band),Trip_hop
Desert_Planet,Electronic
Deviations_Project,Electronic
Dhamakapella,cappella
Dick_Van_Dyke_and_The_Vantastix,cappella
Dif_Juz,British_instrumental
Dinosaur_(jazz_quartet),British_instrumental
Dion_and_the_Belmonts,American_blues_rock
Diorama_(band),Electronic
Dirtyphonics,Electronic
Divine_Horsemen,American_blues_rock
Donegal_X-Press,Celtic
Doo-wop,Doo-wop
Doo_Rag_(band),Punk_blues
Double_Trouble_(band),American_blues_rock
Draft:Apple.B,___NONE___
Dreamlin,Electronic
Durant_(a_cappella_group),cappella
Dust_Rhinos,Celtic
Eagles_of_Death_Metal,American_blues_rock
Earthbound_Papas,Japanese_instrumental
Earthless,American_blues_rock
Earthling_(band),Trip_hop
Earthstar_(band),Electronic
Eastman_Wind_Ensemble,American_instrumental
Eddie_&_the_Showmen,American_blues_rock
Edelweiss_(band),Electronic
Eden_and_John's_East_River_String_Band,American_blues
Eight_Beat_Measure,cappella
Eight_Rounds_Rapid,American_blues_rock
El_Azote,American_blues_rock
Electric_Coconut,British_instrumental
Electrofied,American_blues
Elektrotwist,Electronic
Elevator_Suite,British_instrumental
Elf_(band),American_blues_rock
Elsiane,Trip_hop
Emerald_Rose,Celtic
Emersons_(vocal_group),Doo-wop
Endless_Boogie_(band),American_blues_rock
Energy_Orchard,Celtic
English_Singers,cappella
Ensemble_Planeta,cappella
Enter_the_Haggis,Celtic
Entheogenic_(band),Electronic
Epstein_Brothers_Orchestra,American_instrumental
Erin_Harpe_&_the_Delta_Swingers,American_blues
Ernie_and_the_Automatics,American_blues_rock
Erwilian,American_instrumental
Esperanza_Drum_and_Bugle_Corps,American_instrumental
Ethel_(string_quartet),American_instrumental
Ether_Bunny,American_instrumental
Etro_Anime,Trip_hop
European_Bridges_Ensemble,Electronic
Evermore_(band),American_blues_rock
Everything_but_the_Girl,American_blues_rock
Extreme_Cello,British_instrumental
Fémina,Latin
Faderhead,Electronic
Faetal,Electronic
Faithless,British_instrumental
Fake?,Japanese_instrumental
Fangoria_(band),American_blues_rock
Fenech-Soler,Electronic
Figgy_Duff,Canadian_Celtic
Fingal_(music_group),Celtic
Fisherman's_Friends,cappella
Five_Horse_Johnson,American_blues_rock
Flat_Duo_Jets,American_blues_rock
Floating_Action,American_blues_rock
Flook_(band),Celtic
Flunk,Trip_hop
Fool_Moon_(band),cappella
Four_Deuces,Doo-wop
Fourmidables_(A'capella_Quartet),cappella
Freddy_Jones_Band,American_blues_rock
Friscia_&_Lamboy,Electronic
Frost_(Norwegian_band),Trip_hop
Frou_Frou_(band),Trip_hop
Fundamentally_Sound,cappella
